id,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
80,2011-01-23,blond,56.0,9.0,28024.0,M,licence,geologie,58.74,non,0
81,2014-03-26,brun,27.0,11.0,28016.0,F,master,forage,85.09,non,0
82,2010-10-21,roux,37.0,12.0,42126.0,M,licence,archeologie,74.3,oui,0
83,2012-08-05,chatain,56.0,13.0,42927.0,M,licence,geologie,42.42,non,0
84,2014-04-03,brun,44.0,3.0,24224.0,F,master,geologie,95.98,non,0
85,2014-06-27,chatain,51.0,9.0,33279.0,M,doctorat,geologie,81.86,oui,0
86,2014-08-22,blond,43.0,10.0,25865.0,F,master,geologie,111.67,non,0
87,2014-01-14,chatain,37.0,13.0,28417.0,F,doctorat,geologie,108.59,oui,0
88,2013-08-24,brun,42.0,13.0,37039.0,M,master,forage,96.54,oui,0
89,2013-01-30,blond,33.0,13.0,33396.0,M,master,geologie,69.91,non,0
90,2012-10-27,chatain,36.0,15.0,39565.0,F,licence,geologie,67.23,non,0
91,2010-04-01,blond,25.0,10.0,32411.0,F,licence,geologie,75.46,non,0
92,2012-02-12,chatain,53.0,12.0,24794.0,M,doctorat,geologie,58.44,non,1
93,2011-12-18,blond,46.0,13.0,34576.0,M,licence,detective,54.14,non,0
94,2013-02-23,chatain,20.0,9.0,35808.0,M,master,geologie,,oui,1
95,2010-12-02,blond,,11.0,35313.0,M,master,forage,91.61,oui,0
96,2010-04-29,brun,36.0,5.0,35030.0,M,master,geologie,76.28,non,0
97,2013-05-28,chatain,41.0,9.0,34475.0,F,master,forage,108.53,oui,0
98,2010-06-02,blond,24.0,8.0,23259.0,M,master,geologie,52.02,non,0
99,2012-06-13,chatain,32.0,9.0,31343.0,M,doctorat,geologie,83.3,non,0
100,2013-08-14,brun,44.0,9.0,24514.0,M,doctorat,geologie,115.22,non,0
101,2012-04-07,blond,29.0,11.0,34602.0,M,licence,geologie,75.31,non,0
102,2013-05-15,brun,36.0,4.0,34591.0,F,master,detective,89.71,oui,0
103,2013-05-26,roux,19.0,5.0,35842.0,M,licence,geologie,56.84,non,0
104,2012-06-17,blond,23.0,18.0,31081.0,F,licence,detective,,non,0
105,2012-07-27,roux,50.0,8.0,31127.0,M,licence,geologie,55.61,non,0
106,2010-11-16,chatain,24.0,9.0,37347.0,F,doctorat,forage,84.45,oui,0
107,2010-03-19,chatain,26.0,9.0,44198.0,M,master,forage,51.91,oui,0
108,2013-04-28,chatain,29.0,7.0,33954.0,M,doctorat,detective,103.9,oui,0
109,2012-07-29,chatain,13.0,14.0,39785.0,F,master,forage,100.56,oui,0
110,2011-05-30,chatain,31.0,6.0,31156.0,F,doctorat,geologie,100.82,oui,0
111,2010-04-12,roux,30.0,8.0,41166.0,M,master,geologie,102.57,oui,1
112,2014-04-16,blond,37.0,9.0,41042.0,F,bac,archeologie,56.01,non,0
113,2010-09-10,chatain,59.0,9.0,32402.0,F,master,detective,82.51,oui,0
114,2013-08-04,blond,46.0,14.0,45131.0,M,licence,detective,88.41,oui,1
115,2014-11-28,chatain,21.0,10.0,28448.0,F,master,detective,35.42,non,1
116,2010-05-11,chatain,37.0,11.0,30370.0,F,master,geologie,66.07,non,0
117,2012-04-12,chatain,20.0,13.0,35101.0,F,master,geologie,71.37,non,0
118,2014-11-23,blond,35.0,9.0,31629.0,M,licence,geologie,69.99,non,0
119,2014-12-18,blond,27.0,9.0,33742.0,F,licence,geologie,81.73,non,0
120,2012-10-09,brun,35.0,8.0,34767.0,M,licence,geologie,71.4,non,1
121,2011-08-15,brun,24.0,9.0,37446.0,M,master,geologie,77.95,oui,1
122,2011-10-03,blond,32.0,5.0,35954.0,M,licence,geologie,65.45,oui,0
123,2011-07-13,blond,43.0,10.0,33677.0,M,bac,geologie,50.29,non,0
124,2013-01-03,brun,35.0,2.0,31358.0,F,licence,geologie,93.24,non,0
125,2013-02-15,,42.0,8.0,35839.0,M,licence,geologie,78.87,non,0
126,2013-06-28,brun,32.0,17.0,31869.0,M,master,geologie,75.54,non,1
127,2012-02-03,brun,37.0,4.0,36773.0,F,licence,forage,60.35,non,0
128,2013-01-13,brun,35.0,5.0,43343.0,M,bac,geologie,62.75,non,0
129,2011-09-10,brun,30.0,11.0,33867.0,F,licence,geologie,81.7,non,0
130,2012-11-11,brun,45.0,14.0,29931.0,M,master,geologie,91.38,non,0
131,2010-06-10,roux,35.0,13.0,49947.0,F,bac,forage,106.75,oui,1
132,2012-10-23,roux,43.0,9.0,33285.0,M,licence,forage,89.99,oui,0
133,2010-03-22,chatain,39.0,7.0,32953.0,F,master,geologie,90.33,non,0
134,2014-08-23,brun,17.0,7.0,36269.0,M,licence,geologie,50.56,non,0
135,2014-05-31,brun,35.0,12.0,36448.0,F,master,archeologie,79.87,oui,0
136,2014-02-16,chatain,30.0,4.0,26162.0,F,master,detective,39.96,non,1
137,2010-05-03,brun,14.0,11.0,27758.0,F,licence,geologie,75.85,non,0
138,2012-02-11,roux,41.0,9.0,33441.0,M,bac,geologie,77.1,non,0
139,2011-10-26,blond,24.0,12.0,36070.0,M,licence,geologie,69.02,non,0
140,2012-07-25,blond,57.0,8.0,36459.0,F,licence,archeologie,62.97,non,0
141,2011-10-30,chatain,42.0,14.0,38635.0,M,master,geologie,74.56,oui,0
142,2012-12-28,blond,9.0,12.0,36785.0,M,licence,forage,56.12,non,0
143,2011-01-16,roux,26.0,15.0,40237.0,M,bac,forage,49.89,non,0
144,2011-08-22,blond,31.0,9.0,41502.0,M,licence,geologie,65.32,oui,0
145,2011-12-14,roux,52.0,7.0,32783.0,M,master,forage,78.22,oui,0
146,2014-08-30,chatain,34.0,14.0,31579.0,F,doctorat,detective,,oui,0
147,2010-08-01,chatain,38.0,6.0,29465.0,F,doctorat,geologie,97.02,oui,0
148,2013-05-06,blond,30.0,9.0,34789.0,M,licence,geologie,87.66,non,0
149,2011-08-20,blond,38.0,7.0,33087.0,F,licence,detective,72.59,non,0
150,2013-09-07,brun,39.0,14.0,32082.0,M,licence,geologie,76.73,,1
151,2012-07-17,roux,33.0,4.0,32418.0,M,master,geologie,99.28,oui,1
152,2013-09-07,blond,39.0,9.0,29168.0,F,licence,geologie,86.15,non,0
153,2012-03-21,brun,27.0,7.0,41620.0,M,bac,geologie,48.53,non,0
154,2010-09-08,blond,36.0,10.0,27201.0,M,master,geologie,78.02,non,0
155,2014-10-27,brun,34.0,5.0,38701.0,M,master,geologie,80.49,oui,0
156,2010-10-25,chatain,41.0,12.0,39654.0,M,licence,geologie,54.67,non,0
157,2012-02-07,chatain,30.0,6.0,37051.0,M,master,geologie,75.87,oui,0
158,2014-03-14,blond,29.0,8.0,35362.0,F,bac,forage,83.31,non,1
159,2012-02-20,brun,49.0,11.0,35149.0,F,licence,forage,62.6,non,0
160,2011-03-05,brun,31.0,8.0,35355.0,F,master,detective,93.49,oui,0
161,2011-09-18,chatain,32.0,11.0,33038.0,F,master,detective,106.91,oui,0
162,2010-06-18,brun,52.0,10.0,37626.0,F,licence,detective,64.98,non,0
163,2012-04-27,chatain,33.0,12.0,38261.0,F,licence,archeologie,67.44,non,1
164,2014-04-05,blond,43.0,13.0,35587.0,F,licence,detective,91.06,oui,0
165,2012-02-09,brun,34.0,5.0,34785.0,M,licence,geologie,59.09,non,0
166,2014-07-21,blond,23.0,5.0,27231.0,F,licence,forage,86.53,non,0
167,2011-02-05,brun,27.0,13.0,26495.0,F,master,forage,83.88,non,0
168,2012-03-10,chatain,37.0,9.0,33548.0,F,master,geologie,72.44,non,0
169,2013-01-02,chatain,37.0,8.0,46768.0,M,master,detective,44.05,oui,0
170,2012-11-23,brun,23.0,10.0,34641.0,M,master,geologie,91.7,non,0
171,2012-05-11,roux,33.0,11.0,34815.0,M,licence,detective,66.08,oui,0
172,2013-03-21,blond,39.0,16.0,30417.0,M,master,geologie,57.17,non,0
173,2013-03-04,chatain,47.0,11.0,33646.0,F,licence,detective,77.12,non,0
174,2013-10-29,chatain,24.0,2.0,35228.0,F,licence,geologie,64.58,non,0
175,2012-01-21,chatain,28.0,11.0,32406.0,F,doctorat,archeologie,109.34,oui,0
176,2011-02-13,blond,44.0,14.0,36236.0,M,licence,geologie,96.66,oui,1
177,2014-12-05,blond,31.0,8.0,32124.0,M,licence,geologie,83.75,non,0
178,2013-09-24,blond,35.0,7.0,38591.0,M,licence,geologie,72.56,non,0
179,2011-04-01,brun,45.0,12.0,36912.0,F,licence,geologie,63.62,non,0
180,2013-12-23,blond,36.0,8.0,41125.0,M,bac,geologie,59.31,non,0
181,2010-12-25,brun,25.0,9.0,48057.0,M,licence,forage,36.81,oui,0
182,2014-04-07,chatain,35.0,1.0,41990.0,M,licence,forage,47.12,non,1
183,2011-12-14,blond,36.0,13.0,44500.0,M,licence,forage,62.24,,0
184,2010-09-18,blond,23.0,15.0,25861.0,M,master,geologie,59.4,non,0
185,2011-03-12,blond,47.0,10.0,38548.0,M,bac,geologie,44.79,non,0
186,2013-05-09,blond,32.0,13.0,36403.0,M,licence,geologie,45.86,non,0
187,2013-08-05,blond,33.0,7.0,30126.0,F,doctorat,archeologie,113.79,oui,0
188,2013-03-16,blond,27.0,13.0,32270.0,M,licence,geologie,66.98,non,0
189,2010-03-12,blond,28.0,11.0,36825.0,M,master,detective,95.64,oui,0
190,2012-01-09,roux,33.0,8.0,35312.0,M,licence,geologie,75.65,non,0
191,2014-09-13,brun,35.0,9.0,30498.0,F,master,geologie,109.33,non,0
192,2010-05-02,blond,36.0,8.0,25664.0,M,doctorat,geologie,82.73,oui,0
193,2011-09-15,brun,30.0,11.0,27121.0,M,master,geologie,94.54,non,0
194,2013-09-22,brun,37.0,6.0,37781.0,F,licence,geologie,81.38,non,0
195,2011-05-02,chatain,35.0,5.0,42628.0,M,master,detective,86.55,oui,0
196,2013-04-21,chatain,5.0,9.0,38536.0,F,licence,archeologie,65.42,non,1
197,2012-04-11,brun,41.0,7.0,34754.0,M,licence,geologie,60.6,non,0
198,2011-08-24,chatain,35.0,7.0,35795.0,M,master,geologie,67.08,non,0
199,2012-01-13,brun,42.0,10.0,36166.0,M,master,forage,63.05,oui,0
200,2012-07-02,blond,35.0,7.0,37337.0,F,bac,geologie,56.74,non,0
201,2013-05-14,blond,34.0,14.0,37318.0,M,licence,geologie,60.03,non,0
202,2010-07-19,chatain,25.0,12.0,36655.0,F,master,forage,86.06,non,0
203,2014-11-05,blond,49.0,7.0,31289.0,M,master,geologie,83.17,non,0
204,2014-06-03,chatain,34.0,9.0,42061.0,M,master,forage,63.01,oui,0
205,2010-03-01,blond,51.0,12.0,32745.0,M,licence,geologie,70.41,non,0
206,2013-10-02,brun,31.0,12.0,33592.0,F,licence,geologie,87.61,non,0
207,2012-02-15,blond,35.0,12.0,31787.0,M,bac,geologie,59.45,non,0
208,2012-03-29,brun,34.0,6.0,39034.0,F,licence,forage,70.59,oui,0
209,2010-09-10,roux,31.0,6.0,36223.0,M,bac,forage,88.79,non,0
210,2013-03-01,roux,27.0,10.0,39245.0,M,bac,geologie,33.68,non,0
211,2013-04-08,roux,39.0,8.0,37174.0,M,licence,forage,71.04,non,0
212,2014-05-18,roux,36.0,10.0,25316.0,F,bac,forage,102.68,non,0
213,2013-08-29,roux,30.0,7.0,38523.0,M,bac,geologie,52.15,non,0
214,2012-01-19,brun,50.0,11.0,39544.0,M,licence,geologie,79.87,oui,0
215,2014-11-15,roux,35.0,4.0,38348.0,M,bac,geologie,66.47,non,0
216,2014-03-10,blond,26.0,11.0,39109.0,M,licence,geologie,63.45,oui,0
217,2013-02-07,brun,31.0,13.0,41816.0,M,bac,geologie,58.91,non,0
218,2010-04-29,brun,50.0,9.0,35191.0,F,bac,detective,57.71,non,1
219,2014-09-10,blond,23.0,7.0,32309.0,M,bac,geologie,66.19,non,0
220,2014-02-02,brun,36.0,2.0,35006.0,F,master,detective,80.96,oui,0
221,2011-02-27,chatain,40.0,8.0,38304.0,M,master,detective,75.03,oui,0
222,2010-01-29,blond,35.0,11.0,48300.0,M,bac,geologie,50.22,non,0
223,2013-09-03,roux,45.0,9.0,34061.0,F,licence,geologie,87.31,non,0
224,2010-12-02,roux,38.0,7.0,30678.0,M,licence,geologie,52.38,non,0
225,2013-01-24,chatain,21.0,12.0,36315.0,M,doctorat,forage,95.11,oui,0
226,2014-02-17,chatain,34.0,6.0,36394.0,F,doctorat,detective,101.15,oui,0
227,2014-02-21,chatain,27.0,8.0,33583.0,M,doctorat,forage,86.18,,0
228,2011-08-31,blond,33.0,9.0,35044.0,M,doctorat,geologie,85.67,oui,1
229,2010-01-18,brun,37.0,17.0,32924.0,M,licence,geologie,58.18,non,0
230,2011-03-24,chatain,32.0,5.0,24158.0,F,doctorat,detective,111.98,,0
231,2013-04-19,blond,26.0,7.0,42064.0,M,bac,geologie,44.18,non,0
232,2014-07-18,brun,38.0,11.0,32311.0,F,licence,detective,76.71,non,0
233,2012-04-13,,37.0,12.0,34309.0,M,licence,geologie,60.0,non,0
234,2013-10-26,roux,34.0,12.0,35866.0,F,bac,detective,68.92,non,0
235,2012-01-30,blond,31.0,12.0,32130.0,M,licence,geologie,82.42,non,1
236,2012-09-10,chatain,49.0,11.0,31029.0,M,doctorat,geologie,85.27,non,0
237,2011-11-03,chatain,23.0,9.0,31323.0,F,doctorat,forage,92.65,oui,0
238,2014-11-07,brun,21.0,12.0,39909.0,M,licence,forage,67.12,oui,0
239,2013-01-04,chatain,28.0,4.0,31412.0,M,master,geologie,84.38,non,0
240,2013-06-19,brun,34.0,13.0,38542.0,M,licence,geologie,81.68,non,0
241,2010-04-24,blond,49.0,9.0,27489.0,F,licence,geologie,100.71,non,0
242,2013-06-15,roux,52.0,15.0,40204.0,M,licence,forage,99.55,oui,1
243,2010-02-21,brun,28.0,7.0,37002.0,M,licence,geologie,48.4,non,0
244,2014-03-05,brun,39.0,15.0,30552.0,F,master,detective,97.11,oui,0
245,2014-04-14,blond,25.0,9.0,35543.0,M,licence,detective,90.2,oui,1
246,2013-12-15,chatain,59.0,16.0,30120.0,M,master,geologie,71.41,non,0
247,2014-09-16,blond,41.0,6.0,36088.0,M,licence,geologie,86.5,non,0
248,2014-09-13,roux,26.0,9.0,41568.0,M,bac,geologie,76.53,non,0
249,2011-11-04,chatain,39.0,12.0,37099.0,F,master,forage,85.84,non,1
250,2010-08-31,blond,35.0,12.0,28236.0,M,master,geologie,82.84,non,1
251,2013-11-10,brun,41.0,12.0,35490.0,F,licence,detective,68.63,non,0
252,2010-03-08,blond,44.0,10.0,29211.0,M,licence,geologie,69.17,non,0
253,2012-01-07,blond,39.0,9.0,30604.0,M,licence,geologie,88.29,non,0
254,2011-11-02,chatain,28.0,11.0,32502.0,F,licence,geologie,64.46,non,0
255,2012-01-25,blond,26.0,5.0,,M,licence,geologie,87.21,non,0
256,2011-04-04,brun,48.0,8.0,35368.0,M,master,forage,77.92,oui,1
257,2010-12-14,blond,32.0,11.0,35689.0,F,licence,geologie,100.42,non,0
258,2013-03-15,brun,41.0,12.0,38739.0,M,master,geologie,83.67,oui,0
259,2014-03-08,roux,38.0,9.0,,M,bac,geologie,80.89,non,0
260,2012-06-14,chatain,44.0,7.0,34960.0,M,doctorat,forage,78.63,oui,0
261,2010-12-18,brun,32.0,12.0,34331.0,M,doctorat,archeologie,90.14,oui,0
262,2014-04-26,blond,33.0,16.0,33686.0,M,licence,forage,46.51,non,0
263,2011-01-02,blond,39.0,11.0,35505.0,F,licence,geologie,89.08,non,0
264,2013-07-31,blond,34.0,12.0,41103.0,M,licence,geologie,64.19,non,0
265,2014-07-11,brun,34.0,11.0,31224.0,F,master,detective,88.68,oui,0
266,2013-07-27,chatain,45.0,7.0,32537.0,M,licence,geologie,51.01,non,0
267,2011-07-20,blond,39.0,8.0,39367.0,M,licence,geologie,85.67,oui,1
268,2010-06-04,chatain,38.0,13.0,31253.0,M,master,geologie,90.58,non,0
269,2013-07-13,chatain,32.0,7.0,32106.0,F,master,geologie,80.78,non,0
270,2010-05-22,brun,35.0,10.0,28306.0,F,doctorat,archeologie,102.55,oui,0
271,2012-06-14,blond,43.0,13.0,40245.0,M,licence,geologie,55.77,non,0
272,2010-05-24,roux,19.0,12.0,38413.0,M,bac,forage,10.44,non,0
273,2010-02-20,brun,36.0,8.0,38448.0,M,licence,geologie,71.75,non,0
274,2010-01-28,brun,35.0,7.0,40290.0,M,master,forage,71.9,oui,0
275,2013-05-10,roux,19.0,10.0,34304.0,M,licence,forage,90.61,oui,0
276,2010-03-13,brun,29.0,8.0,31520.0,M,licence,geologie,75.07,non,0
277,2014-08-18,roux,32.0,9.0,25482.0,M,master,geologie,114.7,oui,0
278,2012-01-22,blond,40.0,11.0,42079.0,M,bac,geologie,51.72,non,0
279,2010-03-11,chatain,26.0,7.0,38214.0,F,licence,detective,74.98,non,0
280,2011-05-25,brun,40.0,12.0,34447.0,M,bac,geologie,37.97,non,0
281,2011-05-12,brun,22.0,13.0,33843.0,F,licence,detective,63.72,non,0
282,2011-01-09,brun,33.0,6.0,36849.0,F,master,detective,99.64,oui,0
283,2011-01-22,chatain,45.0,9.0,27681.0,M,doctorat,geologie,97.46,non,0
284,2012-07-09,brun,22.0,14.0,40517.0,M,master,,70.35,oui,0
285,2013-02-08,blond,38.0,12.0,32622.0,,bac,geologie,74.0,non,0
286,2013-12-30,blond,31.0,,28145.0,M,doctorat,geologie,55.01,oui,1
287,2011-04-02,brun,35.0,11.0,34320.0,F,licence,forage,65.59,non,0
288,2012-05-24,blond,36.0,4.0,33200.0,F,bac,geologie,65.75,non,0
289,2013-02-16,chatain,35.0,9.0,36055.0,M,master,detective,54.86,oui,0
290,2011-10-11,brun,19.0,3.0,36764.0,M,licence,geologie,62.28,non,0
291,2013-03-19,blond,9.0,12.0,34120.0,M,master,geologie,86.32,oui,1
292,2011-05-31,brun,28.0,6.0,36563.0,F,licence,detective,85.21,oui,0
293,2013-03-19,brun,32.0,12.0,35071.0,F,licence,forage,78.67,non,0
294,2013-12-11,brun,13.0,9.0,37359.0,F,master,archeologie,86.94,oui,0
295,2011-09-22,brun,17.0,9.0,37619.0,F,bac,forage,65.96,non,0
296,2010-04-26,chatain,35.0,6.0,33179.0,M,master,geologie,66.35,non,0
297,2012-06-21,blond,20.0,10.0,30852.0,M,licence,geologie,76.84,non,1
298,2010-06-28,blond,31.0,5.0,38362.0,M,licence,forage,65.92,oui,0
299,2014-06-04,brun,33.0,11.0,23054.0,M,doctorat,geologie,87.0,non,0
300,2011-03-28,chatain,43.0,7.0,26878.0,M,doctorat,geologie,70.05,non,1
301,2014-05-30,brun,33.0,11.0,25563.0,M,doctorat,geologie,90.86,non,0
302,2011-03-28,brun,48.0,6.0,38808.0,M,master,detective,54.94,oui,0
303,2011-12-17,blond,26.0,16.0,32789.0,F,bac,,61.73,non,0
304,2010-07-05,brun,29.0,7.0,32302.0,M,bac,archeologie,73.0,non,1
305,2010-06-16,blond,35.0,10.0,41373.0,M,licence,geologie,82.96,oui,0
306,2010-09-01,chatain,42.0,6.0,42459.0,M,master,detective,64.59,oui,0
307,2013-05-07,brun,37.0,10.0,29616.0,M,doctorat,detective,86.82,oui,0
308,2014-11-26,blond,42.0,9.0,34732.0,M,licence,geologie,78.78,non,0
309,2011-05-16,brun,24.0,10.0,41373.0,M,master,geologie,79.44,oui,0
310,2013-06-20,brun,37.0,16.0,42701.0,F,licence,detective,73.92,oui,0
311,2011-09-25,blond,42.0,5.0,32907.0,M,licence,geologie,72.73,non,0
312,2011-01-25,blond,37.0,11.0,34653.0,M,licence,detective,63.56,oui,0
313,2011-02-02,brun,35.0,5.0,24807.0,F,master,geologie,83.19,non,0
314,2011-06-13,chatain,20.0,7.0,22539.0,F,doctorat,geologie,117.08,non,0
315,2012-12-22,chatain,41.0,6.0,36243.0,F,licence,detective,84.59,non,0
316,2013-02-24,brun,21.0,10.0,29963.0,M,master,geologie,72.4,non,0
317,2011-07-01,chatain,34.0,7.0,39854.0,F,master,forage,80.58,oui,0
318,2012-10-26,blond,42.0,15.0,33696.0,M,doctorat,geologie,82.85,oui,0
319,2011-11-07,brun,32.0,9.0,25783.0,M,doctorat,geologie,102.28,oui,0
320,2010-12-31,chatain,37.0,10.0,34939.0,F,master,geologie,84.67,non,0
321,2013-02-08,blond,45.0,10.0,35708.0,M,bac,geologie,68.01,non,0
322,2014-07-16,chatain,32.0,7.0,31180.0,F,doctorat,geologie,108.51,oui,0
323,2014-01-01,brun,46.0,14.0,41732.0,M,licence,forage,65.4,oui,0
324,2014-05-09,blond,12.0,0.0,38436.0,M,licence,forage,82.39,oui,0
325,2012-06-18,blond,47.0,17.0,38835.0,M,licence,detective,75.37,oui,0
326,2013-03-22,brun,41.0,8.0,39690.0,M,master,geologie,67.34,oui,0
327,2012-11-01,blond,49.0,14.0,35233.0,M,master,forage,80.17,oui,0
328,2013-10-06,chatain,24.0,6.0,32568.0,M,doctorat,geologie,65.62,oui,1
329,2012-07-16,blond,29.0,6.0,32729.0,M,licence,geologie,69.56,non,0
